Observation,TermDays,strm,Headcount,HeadcountDiff,HeadcountPrediction2018,HeadcountPrediction2019Base,HeadcountPrediction2019ML,SCH,SCHDiff,SCHPrediction2018,SCHPrediction2019Base,SCHPrediction2019ML,DummyData,Freshman_Headcount,Sophomore_Headcount,Junior_Headcount,Senior_Headcount,PostBac_Headcount,Masters_Headcount,Doctoral_Headcount,SpecProf_Headcount
1,,1118,15424,0,,,,173218,0,,,,1,2141,3025,4347,3844,263,1237,318,1
2,-124,1118,15533,109,,,,174455.5,1237.5,,,,0,2158,3048,4370,3866,266,1247,323,1
3,-123,1118,15642,109,,,,175693,1237.5,,,,0,2175,3071,4393,3888,269,1257,328,1
4,-121,1118,15857,215,,,,178280,2587,,,,0,2207,3113,4443,3942,272,1273,333,1
5,-120,1118,16063,206,,,,180457,2177,,,,0,2234,3153,4484,3995,277,1301,339,1
6,-119,1118,16236,173,,,,182611,2154,,,,0,2258,3193,4517,4030,282,1327,346,1
7,-118,1118,16382,146,,,,184406.5,1795.5,,,,0,2277,3226,4547,4069,285,1339,351,1
8,-117,1118,16494,112,,,,185677,1270.5,,,,0,2292,3249,4579,4091,285,1350,358,1
9,-116,1118,16596,102,,,,186882.5,1205.5,,,,0,2305,3267,4606,4113,286,1361,360,1
10,,1118,16751,155,,,,188621,1738.5,,,,1,2329,3289,4638,4142,290,1385,373,1
11,-113,1118,16905,154,,,,190360,1739,,,,0,2352,3311,4670,4171,293,1408,385,1
12,-112,1118,17038,133,,,,191756,1396,,,,0,2373,3335,4695,4189,296,1439,395,1
13,,1188,17338,300,,,,195103,3347,,,,1,2417,3437,4749,4224,313,1473,405,1
14,-110,1118,17637,299,,,,198449,3346,,,,0,2460,3539,4803,4259,329,1506,414,1
15,-109,1118,17749,112,,,,199746,1297,,,,0,2473,3564,4826,4285,334,1519,416,1
16,-107,1118,17894,145,,,,201433.5,1687.5,,,,0,2491,3603,4846,4315,342,1536,426,1
17,-106,1118,18040,146,,,,203176,1742.5,,,,0,2503,3625,4882,4355,345,1550,439,1
18,-105,1118,18187,147,,,,204801,1625,,,,0,2509,3658,4913,4384,354,1568,453,1
19,-104,1118,18346,159,,,,206504,1703,,,,0,2526,3683,4962,4414,358,1585,459,1
20,-103,1118,18455,109,,,,207688,1184,,,,0,2537,3700,4993,4440,362,1598,460,1
21,-102,1118,18567,112,,,,208854,1166,,,,0,2550,3732,5007,4460,373,1610,463,1
22,-100,1118,18732,165,,,,210590,1736,,,,0,1112,3634,4605,6523,378,1631,474,1
23,-99,1118,18878,146,,,,212552,1962,,,,0,1132,3656,4644,6547,381,1649,483,1
24,-98,1118,18974,96,,,,213693.5,1141.5,,,,0,1140,3669,4669,6577,386,1660,485,1
25,-97,1118,19086,112,,,,215207.5,1514,,,,0,1145,3683,4702,6603,394,1674,491,1
26,-96,1118,19481,395,,,,219890.5,4683,,,,0,1184,3870,4790,6629,402,1681,493,1
27,-95,1118,19547,66,,,,220753.5,863,,,,0,1191,3889,4803,6642,409,1687,493,1
28,-93,1118,19651,104,,,,221927.5,1174,,,,0,1191,3915,4826,6671,419,1696,498,1
