Observation,TermDays,Strm,Headcount,HeadcountDiff,DummyData
1,-125,1118,15533,0,0
2,-124,1118,15642,109,0
3,-123,1118,15750,108,1
4,-122,1118,15857,107,0
5,-121,1118,16063,206,0
6,-119,1118,16236,173,0
7,-120,1118,16382,146,0
8,-118,1118,16494,112,0
9,-117,1118,16596,102,0
10,-116,1118,16674,78,1
11,-115,1118,16751,77,1
12,-114,1118,16905,154,0
13,-113,1118,17038,133,0
14,-112,1118,17338,300,1
15,-111,1118,17637,299,0
16,-110,1118,17749,112,0
17,-109,1118,17822,73,1
18,-108,1118,17894,72,0
19,-107,1118,18040,146,0
20,-106,1118,18187,147,0
21,-105,1118,18346,159,0
22,-104,1118,18455,109,0
23,-103,1118,18567,112,0
24,-102,1118,18650,83,1
25,-101,1118,18732,82,0
26,-100,1118,18878,146,0
27,-99,1118,18974,96,0
28,-98,1118,19086,112,0
29,-97,1118,19481,395,0
30,-96,1118,19514,33,1
31,-95,1118,19547,33,0
32,-94,1118,19651,104,0
33,-93,1118,19746,95,0
34,-92,1118,19825,79,0
35,-91,1118,19878,53,0
36,-90,1118,19924,46,0
37,-89,1118,19953,29,1
38,-88,1118,19981,28,0
39,-87,1118,20017,36,0
40,-86,1118,20094,77,0
41,-85,1118,20255,161,0
42,-84,1118,20365,110,0
43,-83,1118,20645,280,0
44,-82,1118,20715,70,0
45,-81,1118,20774,59,1
46,-80,1118,20833,59,0
47,-79,1118,20912,79,0
48,-78,1118,20992,80,0
49,-77,1118,21062,70,0
50,-76,1118,21314,252,0
51,-75,1118,21353,39,1
52,-74,1118,21391,38,0
53,-73,1118,21498,107,0
54,-72,1118,21656,158,0
55,-71,1118,21727,71,0
56,-70,1118,21810,83,0
57,-69,1118,22415,605,0
58,-68,1118,22481,66,0
59,-67,1118,22519,38,1
60,-66,1118,22557,38,0
61,-65,1118,23181,624,0
62,-64,1118,23263,82,0
63,-63,1118,23350,87,0
64,-62,1118,23713,363,0
65,-61,1118,23793,80,0
66,-60,1118,23847,54,1
67,-59,1118,23901,54,0
68,-58,1118,24534,633,0
69,-57,1118,24616,82,0
70,-56,1118,24715,99,0
71,-55,1118,25325,610,0
72,-54,1118,25350,25,1
73,-53,1118,25375,25,0
74,-52,1118,25397,22,0
75,-51,1118,25494,97,0
76,-50,1118,25629,135,0
77,-49,1118,25722,93,0
78,-48,1118,26140,418,0
79,-47,1118,26262,122,0
80,-46,1118,26343,81,1
81,-45,1118,26423,80,0
82,-44,1118,26573,150,0
83,-43,1118,27263,690,0
84,-42,1118,27408,145,0
85,-41,1118,27559,151,0
